timestamp,open,high,low,close,volume
2024-07-25,70.6,70.77,69.95,70.02,18821199
2024-07-24,70.52,70.84,70.34,70.6,22490783
2024-07-23,70.47,70.7,70.11,70.65,9263561
2024-07-22,70.86,71.26,70.2301,70.38,12666130
2024-07-19,71.2,71.33,70.65,70.75,11665526
2024-07-18,70.68,71.19,70.43,70.82,10682742
2024-07-17,70.18,71.1,69.95,71.03,13533791
2024-07-16,69.82,70.24,69.58,69.99,9836824
2024-07-15,69.3,69.975,69.3,69.61,10171137
2024-07-12,69.9,70.0299,69.17,69.24,12145317
2024-07-11,70.18,70.45,69.26,69.8,15624796
2024-07-10,70.1,70.44,69.72,70.41,10803405
2024-07-09,69.9,70.25,69.67,69.9,9781831
2024-07-08,69.9,70.14,69.35,69.68,12077679
2024-07-05,68.16,70.15,68.1,70.04,21586100
2024-07-03,67.81,68.25,67.62,68.24,6287545
2024-07-02,67.44,68.085,67.26,68.07,9436487
2024-07-01,67.89,68.24,67.25,67.48,8666021
2024-06-28,67.87,68.0981,67.32,67.71,18816720
2024-06-27,68.29,68.58,67.665,67.88,12899186
2024-06-26,67.4,68.5999,67.21,68.29,14177522
2024-06-25,67.17,67.59,66.55,67.42,20904039
2024-06-24,68.05,69.04,67.9,68.9,12470448
2024-06-21,68.26,68.55,67.83,67.91,25891526
2024-06-20,67.35,68.13,67.3,68.01,13860763
2024-06-18,67.63,67.87,67.295,67.6,12093549
2024-06-17,66.92,67.44,66.4125,67.42,12103044
2024-06-14,66.54,67.11,66.3,67.02,12590146
2024-06-13,66.3,66.76,65.9491,66.7,11196603
2024-06-12,66.85,66.94,65.898,66.31,11704704
2024-06-11,66.95,66.96,66.35,66.73,13367514
2024-06-10,67.19,67.33,66.27,66.96,21667416
2024-06-07,67.4,67.565,65.635,65.88,20213211
2024-06-06,67.06,67.44,66.77,67.15,13256005
2024-06-05,66.57,67.15,66.28,67.09,14982667
2024-06-04,65.99,66.635,65.835,66.6,14780755
2024-06-03,65.51,65.84,65.1603,65.82,11578709
2024-05-31,64.67,65.9,64.16,65.76,27632223
2024-05-30,64.93,65.1711,64.77,64.89,13053481
2024-05-29,64.75,65.21,64.65,64.92,11538552
2024-05-28,65.22,65.47,64.74,65.04,13349619
