timestamp,open,high,low,close,volume
2024-07-26,159.75,161.58,159.4724,160.64,8356878
2024-07-25,156.48,160.58,156.0,159.64,10019578
2024-07-24,152.76,156.41,152.33,156.28,7168217
2024-07-23,153.31,153.5,151.57,152.35,6261870
2024-07-22,154.77,155.11,153.59,154.24,6840609
2024-07-19,156.51,156.51,154.12,154.69,7398036
2024-07-18,155.6,157.07,154.62,155.42,10166247
2024-07-17,151.55,157.49,151.415,156.58,13801429
2024-07-16,149.69,151.08,149.16,151.01,6469582
2024-07-15,150.08,150.25,148.87,149.24,6711354
2024-07-12,150.0,150.88,149.24,149.88,5336394
2024-07-11,149.58,150.58,148.64,149.7,6352109
2024-07-10,147.26,149.47,146.68,149.43,6093187
2024-07-09,145.67,147.13,145.18,147.05,5892187
2024-07-08,146.4,147.22,145.25,145.48,5260229
2024-07-05,145.77,146.55,144.5,146.48,4888535
2024-07-03,146.2,146.65,144.74,145.69,3246157
2024-07-02,146.43,147.15,145.74,146.03,5491962
2024-07-01,146.07,148.7,145.6201,146.44,5144443
2024-06-28,146.04,147.07,145.65,146.16,10495735
2024-06-27,146.8,147.36,144.84,145.8,5739246
2024-06-26,146.2,147.19,145.78,146.82,5267809
2024-06-25,149.18,149.2,146.94,147.19,6620303
2024-06-24,149.0,149.7199,148.17,149.12,6914671
2024-06-21,147.89,149.08,147.37,148.75,15176869
2024-06-20,145.27,148.08,145.01,147.78,8749717
2024-06-18,145.96,146.39,145.265,145.65,6156572
2024-06-17,145.02,146.43,144.74,145.95,6666583
2024-06-14,145.14,145.97,144.48,145.54,4075342
2024-06-13,145.07,146.0,143.88,145.45,6840374
2024-06-12,147.06,147.21,144.78,145.41,6180493
2024-06-11,146.81,147.16,145.44,146.76,5661236
2024-06-10,146.53,147.56,145.6,147.13,5751309
2024-06-07,146.68,148.3,146.34,147.08,5111626
2024-06-06,145.5,147.0,144.66,146.42,5016301
2024-06-05,147.97,147.99,145.855,145.97,5891299
2024-06-04,147.48,148.31,146.19,147.8,8876441
2024-06-03,147.25,148.9,146.77,147.74,7329241
2024-05-31,145.57,147.48,145.19,146.67,14621203
2024-05-30,144.62,145.61,144.02,145.28,8491111
