timestamp,open,high,low,close,volume
2023-05-12,25.14,25.14,25.14,25.14,0
2023-05-11,25.14,25.14,25.14,25.14,0
2023-05-10,25.14,25.14,25.14,25.14,0
2023-05-09,25.14,25.14,25.14,25.14,0
2023-05-08,25.14,25.14,25.14,25.14,0
2023-05-05,25.14,25.14,25.14,25.14,0
2023-05-04,25.14,25.14,25.14,25.14,0
2023-05-03,25.14,25.14,25.14,25.14,0
2023-05-02,25.14,25.14,25.14,25.14,0
2023-05-01,25.14,25.14,25.14,25.14,0
2023-04-28,25.14,25.14,25.14,25.14,0
2023-04-27,25.14,25.14,25.14,25.14,0
2023-04-26,25.14,25.14,25.14,25.14,0
2023-04-25,25.14,25.14,25.14,25.14,0
2023-04-24,25.14,25.14,25.14,25.14,0
2023-04-21,25.14,25.14,25.14,25.14,0
2023-04-20,25.14,25.14,25.14,25.14,0
2023-04-19,25.14,25.14,25.14,25.14,0
2023-04-18,25.14,25.14,25.14,25.14,0
2023-04-17,25.14,25.14,25.14,25.14,0
2023-04-14,25.14,25.14,25.14,25.14,0
2023-04-13,25.14,25.14,25.14,25.14,0
2023-04-12,25.14,25.14,25.14,25.14,0
2023-04-11,25.14,25.14,25.14,25.14,0
2023-04-10,25.14,25.14,25.14,25.14,0
2023-04-06,25.14,25.14,25.14,25.14,0
2023-04-05,25.14,25.14,25.14,25.14,0
2023-04-04,25.14,25.14,25.14,25.14,0
2023-04-03,25.14,25.14,25.14,25.14,0
2023-03-31,25.14,25.14,25.14,25.14,0
2023-03-30,25.14,25.14,25.14,25.14,0
2023-03-29,25.14,25.14,25.14,25.14,0
2023-03-28,25.14,25.14,25.14,25.14,0
2023-03-27,25.14,25.14,25.14,25.14,0
2023-03-24,25.14,25.14,25.14,25.14,0
2023-03-23,25.14,25.14,25.14,25.14,0
2023-03-22,25.14,25.14,25.14,25.14,0
2023-03-21,25.14,25.14,25.14,25.14,0
2023-03-20,25.14,25.14,25.14,25.14,0
2023-03-17,25.14,25.14,25.14,25.14,0
2023-03-16,25.14,25.14,25.14,25.14,0
2023-03-15,25.14,25.14,25.14,25.14,0
2023-03-14,25.14,25.14,25.14,25.14,0
2023-03-13,25.14,25.14,25.14,25.14,0
2023-03-10,25.14,25.14,25.14,25.14,0
2023-03-09,25.14,25.14,25.14,25.14,0
2023-03-08,25.14,25.14,25.14,25.14,0
2023-03-07,25.14,25.14,25.14,25.14,0
2023-03-06,25.14,25.14,25.14,25.14,0
2023-03-03,25.14,25.14,25.14,25.14,0
2023-03-02,25.14,25.14,25.14,25.14,0
2023-03-01,25.14,25.14,25.14,25.14,0
2023-02-28,25.14,25.14,25.14,25.14,0
2023-02-27,25.14,25.14,25.14,25.14,0
2023-02-24,25.14,25.14,25.14,25.14,0
2023-02-23,25.14,25.14,25.14,25.14,0
2023-02-22,25.14,25.14,25.14,25.14,0
2023-02-21,25.14,25.14,25.14,25.14,0
2023-02-17,25.14,25.14,25.14,25.14,0
2023-02-16,25.14,25.14,25.14,25.14,0
2023-02-15,25.14,25.14,25.14,25.14,0
2023-02-14,25.14,25.14,25.14,25.14,0
2023-02-13,25.14,25.14,25.14,25.14,0
2023-02-10,25.14,25.14,25.14,25.14,0
2023-02-09,25.14,25.14,25.14,25.14,0
2023-02-08,25.14,25.14,25.14,25.14,0
2023-02-07,25.14,25.14,25.14,25.14,0
2023-02-06,25.14,25.14,25.14,25.14,0
2023-02-03,25.14,25.14,25.14,25.14,0
2023-02-02,25.14,25.14,25.14,25.14,0
2023-02-01,25.14,25.14,25.14,25.14,0
2023-01-31,25.14,25.14,25.14,25.14,0
2023-01-30,25.14,25.14,25.14,25.14,0
2023-01-27,25.14,25.14,25.14,25.14,0
2023-01-26,25.14,25.14,25.14,25.14,0
2023-01-25,25.14,25.14,25.14,25.14,0
2023-01-24,25.14,25.14,25.14,25.14,0
2023-01-23,24.83,25.93,24.76,25.14,3652729
2023-01-20,24.29,25.52,24.29,24.88,4440602
2023-01-19,24.01,24.46,24.01,24.31,5524709
2023-01-18,24.5201,24.815,24.36,24.4,3994781
2023-01-17,24.76,25.03,24.76,24.79,3303583
2023-01-13,24.76,25.03,24.53,24.91,1191005
2023-01-12,25.27,25.32,25.07,25.14,1431139
2023-01-11,25.2,25.71,25.16,25.54,1403173
2023-01-10,24.77,25.19,24.695,25.18,1538243
2023-01-09,23.38,24.07,23.34,24.03,1427516
2023-01-06,22.83,23.34,22.83,23.33,1310706
2023-01-05,22.69,23.15,22.61,22.99,1005068
2023-01-04,23.2,23.42,23.05,23.16,897009
2023-01-03,23.4,23.8,23.39,23.58,1069546
2022-12-30,22.95,23.33,22.94,23.11,708717
2022-12-29,23.15,23.38,23.0401,23.21,634788
2022-12-28,23.21,23.59,23.21,23.31,951438
2022-12-27,23.21,23.3899,23.16,23.26,1349891
2022-12-23,22.25,22.41,22.06,22.35,969478
2022-12-22,23.26,23.4,22.365,22.86,1218151
2022-12-21,24.02,24.21,23.8447,24.02,865024
2022-12-20,24.22,24.76,24.17,24.76,699133
2022-12-19,24.7,24.77,24.36,24.56,1947387
